Kat-Nr,ort_lit,ort_name,x_long,y_lat
6,Wotzka 1995,Irebu,17.768087,-0.605136
9,Wotzka 1995,Inganda,18.210484,-0.015508
10,Wotzka 1995,Mbandaka,18.256204,0.047734
11,Wotzka 1995,Boyeka,18.332576,0.054651
13,Wotzka 1995,Mpaku,18.570458,-0.143084
15,Wotzka 1995,Nkombo,18.619495,-0.105135
16,Wotzka 1995,Ikua,18.647911,-0.107723
19,Wotzka 1995,Basango,18.718006,-0.106739
21,Wotzka 1995,Bampoko,18.801017,-0.146343
22,Wotzka 1995,Isenge-Moke,18.815449,-0.170147
23,Wotzka 1995,Bokenda,18.850796,-0.215793
24,Wotzka 1995,Longa,18.881382,-0.247706
24a,Wotzka 1995,Benkombo,18.886707,-0.253658
25,Wotzka 1995,Botendo,18.905869,-0.268385
26,Wotzka 1995,Ingende,18.968538,-0.309694
27,Wotzka 1995,Ruki I,19.011953,-0.351948
28,Wotzka 1995,Boteka,19.106072,-0.395926
29,Wotzka 1995,Bempumba,19.161063,-0.430004
30,Wotzka 1995,Mbala,19.31477,-0.415957
31,Wotzka 1995,Lotumbe,19.380323,-0.467776
32,Wotzka 1995,Ifulu,19.425861,-0.525343
33,Wotzka 1995,Boyela,19.448024,-0.604996
34,Wotzka 1995,Lokondola,19.483622,-0.667824
35,Wotzka 1995,Boloka,19.583081,-0.737729
36,Wotzka 1995,Nkasa,19.621333,-0.781309
36,Wotzka 1995,Nkasa Elali,19.621333,-0.781309
37,Wotzka 1995,Bompoma,19.395852,-0.790041
37a,Wotzka 1995,Imomo,19.387474,-0.918599
38,Wotzka 1995,Befili,19.403911,-0.98138
39,Wotzka 1995,Bomate,19.755676,-1.213735
40,Wotzka 1995,Lombe,19.806854,-1.232534
41,Wotzka 1995,Mpumo,19.69613,-0.81107
42,Wotzka 1995,Momboyo II,19.775471,-0.804244
44,Wotzka 1995,Bokolongo,19.840031,-0.747752
45,Wotzka 1995,Ikindantoi,19.834986,-0.76816
46,Wotzka 1995,Lombo-Lombo,19.815645,-0.80477
47,Wotzka 1995,Bonkake,19.846767,-0.839629
48,Wotzka 1995,Lusako,19.963978,-0.9227
49,Wotzka 1995,Bololo,19.9601,-1.008848
50,Wotzka 1995,Boenjola-Ekendambolo,19.960904,-1.106327
51,Wotzka 1995,Waka,20.190153,-0.938947
52,Wotzka 1995,Bonginji,20.27573,-0.991904
53,Wotzka 1995,Itumbo,20.293444,-1.00433
54,Wotzka 1995,Momboyo I,20.31086,-1.153119
55,Wotzka 1995,Yete,20.3401,-1.175813
56,Wotzka 1995,Besau,20.365413,-1.236344
57,Wotzka 1995,Bampete,20.371046,-1.290138
59,Wotzka 1995,Monkoto,20.684728,-1.745558
60,Wotzka 1995,Bekongo,20.770047,-1.837602
61,Wotzka 1995,Boangi,20.883252,-1.914095
62,Wotzka 1995,Nkomasoni,20.97292,-1.991715
63,Wotzka 1995,Ikali,21.041643,-2.031199
64,Wotzka 1995,Loolo,19.180993,-0.247287
65,Wotzka 1995,Lingonda,19.371382,-0.213141
66,Wotzka 1995,Balolombo,19.628423,-0.265445
67,Wotzka 1995,Lisafa,19.73618,-0.258672
68,Wotzka 1995,Inyele,19.752278,-0.240968
69,Wotzka 1995,Lotoko,19.872066,-0.291545
70,Wotzka 1995,Nkuse,20.011387,-0.395383
71,Wotzka 1995,Bompoma,19.785357,-0.592796
72,Wotzka 1995,Lingonju,19.802057,-0.616938
73,Wotzka 1995,Bokala,19.804452,-0.56405
74,Wotzka 1995,Bofomwa,19.8389,-0.530091
75,Wotzka 1995,Eungu,19.976601,-0.489617
76,Wotzka 1995,Eanja-Ilanga,20.010076,-0.563581
77,Wotzka 1995,Eanja Isongo Besombo,20.067869,-0.624364
78,Wotzka 1995,Enaja Bonanga Wa Liko,20.086421,-0.6498
79,Wotzka 1995,Isaka-Nkundo,20.172681,-0.668736
80,Wotzka 1995,Isaka-Elinga,20.202048,-0.666969
81,Wotzka 1995,Besongo,19.980082,-0.198392
82,Wotzka 1995,Monieka,20.053766,-0.211017
83,Wotzka 1995,Bokote,20.206142,-0.214307
84,Wotzka 1995,Inkaka,20.263551,-0.211041
85,Wotzka 1995,Liyolongo,20.323035,-0.342695
86,Wotzka 1995,Nkoyakoli,20.518223,-0.365373
87,Wotzka 1995,Ikembeli,20.577356,-0.357317
88,Wotzka 1995,Busira I,20.612942,-0.361049
89,Wotzka 1995,Ngombe-Malala,20.643967,-0.33177
90,Wotzka 1995,Bosanga,20.707786,-0.367448
91,Wotzka 1995,Bofoy Bokangansoso,20.779496,-0.349533
92,Wotzka 1995,Ekoli-Bokungu,20.863612,-0.272912
93,Wotzka 1995,Boende,20.878878,-0.278183
94,Wotzka 1995,Ilemba,21.091844,-0.257459
