PG,PL,OBJ,SITE,FEATURE,OBJECT,STYLE,ShVesHPW,GefTyp,ShRimHPW,PL_muendD_mm,Pl_muendH_mm,Pl_minD_mm,Pl_minD_H_mm,Pl_maxD_mm,Pl_maxD_H_mm,Pl_BodenD_mm,Massstab5cm,NOTES
,39,11,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,12,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,13,BOK,85/2,,Inganda,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
485,51,9,,,,LON,,F4,,54,35,50,25,"58,5","19,5",0,"15,5",
485,51,10,,,,LON,,F4,,63,"41,5","57,5",33,"65,5",23,0,"15,5",
501,67,10,,,,LON,,F4,,55,45,"54,5",38,63,24,0,"15,5",Höhe geschätzt
521,87,4,,,,LON,,F4,,"73,5",61,"68,5",41,79,31,0,"20,5",Höhe geschätzt
526,92,6,,,,LON,,F4,,56,47,53,43,61,28,0,"15,5",Höhe geschätzt
