NAME,LONG,x_long,LAT,y_lat,kaBP,LIT,TYP
Ngoko,15°20'E,"15,333333",1°56'N,"1,933333","1,2",Sangen 2009,fluviatil/alluvial
Boumba,14°E,14,3°N,3,45,,fluviatil/alluvial
Ntem-Binnendelta,10°E,10,2°N,2,48,Runge et al. 2006; Sangen 2006; 2007; 2009,fluviatil/alluvial
